"description","statusesCount","followersCount","favoritesCount","friendsCount","url","name","created","protected","verified","screenName","location","lang","id","listedCount","followRequestSent","profileImageUrl","date"
"Play the best of EA for $4.99 a month!

EA Access brings you great games for a great price with The Vault, an evolving collection of EA games for Xbox One!",11554,66594,304,56,"http://t.co/v723Gwor5O","EA Access",2014-07-01,FALSE,TRUE,"EAAccess","","en",2598371538,302,FALSE,"http://pbs.twimg.com/profile_images/568851887567298560/_PE0Nsae_normal.jpeg",2016-06-25
"Official Titanfall 2 Twitter. Coming to PlayStation 4, Xbox One and PC. https://t.co/U21nrMLitY #Titanfall2",21607,332908,639,65,"http://t.co/Txw7erpFOk","Titanfall",2013-04-17,FALSE,TRUE,"Titanfallgame","","en",1360239408,1266,FALSE,"http://pbs.twimg.com/profile_images/719556906595917825/m1zc9wfq_normal.jpg",2016-06-25
"Official Twitter account for EA. Follow for updates on all your favorite EA games. For account help, visit http://t.co/87EocY2bPK or Tweet @AskEASupport.",17706,4354895,2560,394,"http://t.co/bGInjY7zZP","Electronic Arts",2008-06-25,FALSE,TRUE,"EA","Redwood City, CA","en",15234657,16225,FALSE,"http://pbs.twimg.com/profile_images/741422022102638598/WMMEvgkr_normal.jpg",2016-06-25
"Rated (E) for Everyone. Official EA SPORTS account for the FIFA franchise. By tweeting to us you're consenting its use in any media, including TV.",245580,3625997,1409,699,"http://t.co/h0RqZK4CIT","EA SPORTS FIFA",2010-01-15,FALSE,TRUE,"EASPORTSFIFA","Global","en",105297123,5282,FALSE,"http://pbs.twimg.com/profile_images/743938183587471362/IHOts5tW_normal.jpg",2016-06-25
"Dedicated to the 20 million Battlefield players everywhere. Join us on the Battlefield - http://t.co/57UfhRMd0W.",484718,1391849,4276,63,"http://t.co/5xRoSW1Bip","Battlefield",2009-03-31,FALSE,TRUE,"Battlefield","DICE","en",27855118,6892,FALSE,"http://pbs.twimg.com/profile_images/728687810543132673/rJJHEYs2_normal.jpg",2016-06-25
"Official EA SPORTS Twitter account for the Madden NFL franchise. #Madden17",81430,353920,1933,655,"https://t.co/2JIaGIfeie","EA SPORTS Madden NFL",2009-06-23,FALSE,TRUE,"EAMaddenNFL","It's In The Game","en",50096544,1542,FALSE,"http://pbs.twimg.com/profile_images/730882419126095872/4rjF--tb_normal.jpg",2016-06-25
"The official Twitter page for EA Star Wars™ including Star Wars™ Battlefront™",44609,335210,358,48,"http://t.co/VBfozN5YLI","EAStarWars",2015-02-20,FALSE,TRUE,"EAStarWars","California","en",3033103596,1078,FALSE,"http://pbs.twimg.com/profile_images/589112089228115968/pPcT9Du2_normal.jpg",2016-06-25
"Official EA SPORTS NHL Twitter Page. NHL 17 is coming soon. By tweeting to us, you're consenting to its use in any media, including TV.",52693,223059,1299,7594,"https://t.co/YD2Ommp5Oa","#NHL17",2009-04-21,FALSE,TRUE,"EASPORTSNHL","Burnaby, BC, Canada","en",33936681,1249,FALSE,"http://pbs.twimg.com/profile_images/746398001850048512/N0dozcQ4_normal.jpg",2016-06-25
"Official Twitter channel for Mirror's Edge™. ESRB Rating: TEEN with Mild Language and Violence. Visit https://t.co/OgSR666Kdy for rating info.",4196,38306,793,90,"http://t.co/pfMRDIApNK","Mirror's Edge",2013-05-30,FALSE,TRUE,"mirrorsedge","","en",1469666041,299,FALSE,"http://pbs.twimg.com/profile_images/608316986733535232/wfAal31I_normal.png",2016-06-25
"Official Call of Duty® Twitter page. ESRB Rating: MATURE with Blood and Gore, Drug Reference, Intense Violence and Strong Language.",7383,3117678,904,10,"http://t.co/q8Cc0GQjNG","Call of Duty",2011-04-29,FALSE,TRUE,"CallofDuty","","en",290097288,4664,FALSE,"http://pbs.twimg.com/profile_images/727096271618494464/n3C5DyGY_normal.jpg",2016-06-25
"Official Twitter account for all your PES related news. Use #PES hashtag to ask questions. Visit https://t.co/yXpBDLb9US and find more info on...",12985,221787,1164,251,"https://t.co/T4XOEtwMvV","Pro Evolution Soccer",2009-12-08,FALSE,TRUE,"officialpes","","en",95411613,1155,FALSE,"http://pbs.twimg.com/profile_images/723438259871711232/vAYoPtYK_normal.jpg",2016-06-25
